City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Juneau,US,58.3019,-134.4197,46.45,100,100,9.91,moderate rain
276,Kaitangata,NZ,-46.2817,169.8464,60.93,51,98,8.05,overcast clouds
277,Alexandria,EG,31.2156,29.9553,73.36,64,40,5.75,scattered clouds
278,Nuuk,GL,64.1835,-51.7216,32.88,64,19,13.0,few clouds
279,Ardahan,TR,41.1087,42.7022,43.07,92,87,3.91,overcast clouds
280,Amapa,BR,1.0,-52.0,72.1,91,27,1.79,scattered clouds
281,Sadovoye,RU,47.7764,44.5089,44.53,62,0,6.11,clear sky
282,Jacqueville,CI,5.2052,-4.4146,78.71,88,100,4.45,light rain
283,Atlantic City,US,39.3643,-74.4229,62.98,79,1,4.68,clear sky
284,Gamba,GA,-2.65,10.0,74.5,88,99,2.19,overcast clouds
285,Kavaratti,IN,10.5669,72.642,78.37,80,100,4.88,overcast clouds
286,Trinidad,BO,-14.8333,-64.9,85.39,46,37,4.18,scattered clouds
287,Roebourne,AU,-20.7833,117.1333,82.65,21,3,13.51,clear sky
288,Palmer,US,42.1584,-72.3287,50.92,90,15,1.72,few clouds
289,Huilong,CN,31.8111,121.655,85.98,62,37,12.93,scattered clouds
290,Ambon,ID,-3.6954,128.1814,84.34,84,40,9.22,scattered clouds
291,Mitchell,US,43.7094,-98.0298,63.73,99,98,3.0,overcast clouds
292,Kieta,PG,-6.2167,155.6333,84.06,68,98,3.31,light rain
293,Husavik,IS,66.0449,-17.3389,42.71,98,100,19.46,overcast clouds
294,Sokoto,NG,13.0609,5.239,78.73,71,87,8.05,overcast clouds
295,Villazon,BO,-22.0866,-65.5942,49.55,69,19,7.23,few clouds
296,Yar-Sale,RU,66.8333,70.8333,32.0,83,82,15.97,broken clouds
297,Grindavik,IS,63.8424,-22.4338,44.55,87,75,23.02,broken clouds
298,Kielce,PL,50.8703,20.6275,48.79,94,24,4.9,few clouds
299,Slonim,BY,53.0867,25.3219,47.23,68,100,9.42,overcast clouds
300,Shimoga,IN,13.9167,75.5667,79.95,76,86,4.25,overcast clouds
