City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Iqaluit,CA,2021-09-30 22:21:17,63.7506,-68.5145,29.93,92,90,4.0
240,Price,US,2021-09-30 22:21:18,39.5994,-110.8107,63.72,36,1,8.05
241,Baijiantan,CN,2021-09-30 22:21:19,45.6333,85.1833,63.3,45,100,8.01
242,Umm Kaddadah,SD,2021-09-30 22:21:19,13.6017,26.6876,86.34,19,22,9.55
243,Tual,ID,2021-09-30 22:21:20,-5.6667,132.75,81.3,82,87,16.8
244,Dingle,PH,2021-09-30 22:21:21,10.9995,122.6711,75.94,91,78,1.97
245,Sinnamary,GF,2021-09-30 22:21:22,5.3833,-52.95,80.58,79,28,8.7
246,Rio Gallegos,AR,2021-09-30 22:21:23,-51.6226,-69.2181,48.25,34,20,14.97
247,Tlalchapa,MX,2021-09-30 22:21:23,18.4,-100.4667,84.87,68,84,2.37
248,Madang,PG,2021-09-30 22:21:25,-5.2246,145.7966,78.51,88,100,2.93
249,Vestmanna,FO,2021-09-30 22:21:26,62.1564,-7.1664,47.32,100,90,16.11
250,Yulara,AU,2021-09-30 22:21:26,-25.2406,130.9889,60.64,31,0,5.75
251,Huilong,CN,2021-09-30 22:19:03,31.8111,121.655,68.99,84,0,2.44
252,Ozu,JP,2021-09-30 22:21:28,33.5,132.55,76.17,93,6,5.86
253,Vardo,NO,2021-09-30 22:21:28,70.3705,31.1107,45.28,82,17,13.35
254,Cururupu,BR,2021-09-30 22:21:29,-1.8283,-44.8683,75.97,87,82,3.69
255,Tomatlan,MX,2021-09-30 22:21:31,19.9333,-105.25,84.15,71,100,4.14
256,San Cristobal,VE,2021-09-30 22:20:58,7.7669,-72.225,73.58,70,60,3.65
257,Nanortalik,GL,2021-09-30 22:21:32,60.1432,-45.2371,37.71,59,0,8.12
258,Saint George,US,2021-09-30 22:21:33,37.1041,-113.5841,81.07,15,1,5.01
259,Kaeo,NZ,2021-09-30 22:21:34,-35.1,173.7833,63.32,62,32,5.53
260,Namibe,AO,2021-09-30 22:21:34,-15.1961,12.1522,60.73,84,10,6.64
261,Camopi,GF,2021-09-30 22:21:35,3.1655,-52.3158,78.89,72,100,4.41
262,Matara,LK,2021-09-30 22:21:36,5.9485,80.5353,77.13,91,91,8.16
263,Port Keats,AU,2021-09-30 22:21:37,-14.25,129.55,80.62,77,9,3.44
264,Tadine,NC,2021-09-30 22:21:37,-21.55,167.8833,74.71,76,56,17.16
265,Ostrovnoy,RU,2021-09-30 22:21:38,68.0531,39.5131,42.69,87,100,5.08
266,Tecoanapa,MX,2021-09-30 22:21:39,16.5167,-98.75,84.33,70,15,7.02
267,Weligama,LK,2021-09-30 22:21:40,5.9667,80.4167,77.61,90,89,8.43
268,Acapulco,MX,2021-09-30 22:21:40,16.8634,-99.8901,85.82,70,40,5.75
269,Atasu,KZ,2021-09-30 22:18:53,48.6814,71.6433,37.13,81,96,12.77
270,Viedma,AR,2021-09-30 22:20:07,-40.8135,-62.9967,62.08,24,6,6.17
271,Merauke,ID,2021-09-30 22:21:43,-8.4667,140.3333,79.36,84,100,9.89
272,Zhicheng,CN,2021-09-30 22:21:44,30.2956,111.5047,69.64,82,1,2.06
273,Mandalgovi,MN,2021-09-30 22:21:44,45.7625,106.2708,40.35,45,96,3.0
274,Rongcheng,CN,2021-09-30 22:21:45,30.634,117.8517,68.97,93,0,2.28
275,Constantine,DZ,2021-09-30 22:21:46,36.365,6.6147,63.81,82,0,6.91
276,Coos Bay,US,2021-09-30 22:21:47,43.3665,-124.2179,78.85,91,90,14.97
277,Cockburn Town,TC,2021-09-30 22:21:47,21.4612,-71.1419,82.36,69,40,9.22
278,Marica,BR,2021-09-30 22:21:48,-22.9194,-42.8186,73.85,89,35,3.8
279,Bria,CF,2021-09-30 22:21:49,6.5423,21.9863,70.05,97,100,2.71
280,Manchenky,UA,2021-09-30 22:21:50,49.9798,35.8583,38.5,60,0,5.95
281,Haines Junction,CA,2021-09-30 22:21:51,60.7522,-137.5108,42.75,61,98,2.3
282,Aklavik,CA,2021-09-30 22:21:51,68.2191,-135.0107,32.72,88,85,3.76
283,Raudeberg,NO,2021-09-30 22:21:52,61.9875,5.1352,57.2,77,75,1.01
284,Blackwater,AU,2021-09-30 22:21:53,-23.5833,148.8833,68.02,86,90,11.61
285,York,US,2021-09-30 22:17:36,40.1254,-77.0,66.9,60,1,5.75
286,Shushtar,IR,2021-09-30 22:21:55,32.0455,48.8567,87.58,16,0,5.84
287,Petropavlovskoye,RU,2021-09-30 22:21:55,52.0712,84.107,39.51,96,99,6.04
288,Winnemucca,US,2021-09-30 22:21:56,40.973,-117.7357,67.1,12,0,3.62
289,Muli,MV,2021-09-30 22:21:57,2.9167,73.5667,81.73,71,93,8.77
290,High Level,CA,2021-09-30 22:21:58,58.5169,-117.136,60.91,51,75,11.5
291,Akdepe,TM,2021-09-30 22:21:59,42.0551,59.3788,44.69,57,15,10.31
292,Kuching,MY,2021-09-30 22:22:00,1.55,110.3333,75.42,94,40,2.3
